samp_country,category,fermented_food_type,sample_id,absolute-filepath
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/af7d4c53-ba50-453b-8dd9-89fffc647477.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/640bfe09-b9b7-4a3c-a1df-32ad567287f7.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/69d1fbd1-efd0-46a5-85ab-26abf1fa0a4a.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/c1d44921-73cf-4bdd-8d6e-f7966cb795c9.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/89e37337-3c22-4379-a43e-573088137213.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/78c512e1-51e7-4a71-ab02-e0ac084dc305.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/16179311-0355-48c1-ae04-b58fedc6671a.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/fa95c963-fca3-4892-8e8d-e3c141f8e4e5.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/c8472828-d00b-4714-86d1-e2ca57433080.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/315df7fe-78ba-46eb-b892-7f4e1908c5e5.fasta
Thailand,fermented fish,Pickled_mussel_(Hoy_Dong)_from_Asian_green_mussel,M002,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M002/25ebe28d-6136-4398-8dc6-5f7ebe992bde.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/8404db7a-9841-4a5a-b265-7b40f4d93866.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/a2676540-9d6b-498d-ba71-c730a8a02fd8.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/0f6558e2-60dc-45e6-b266-c997ab744ee4.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/738901fd-5854-465c-8554-f4033c5ca6c2.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/d1c458f6-1bdb-4fbd-98dd-b022b9d36948.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/86a64513-f748-4867-9790-410608332b89.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/230aa964-2dda-4a6d-855c-dabaf99b4932.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/18d52221-1a96-4e7b-9a08-c90256f16e6d.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/e5e27dcb-338f-4bec-b550-86ec6649331d.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/719a6a10-dcc9-4229-8d56-427631cd70de.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/4d39a79a-a6d6-4032-9bbf-ff589a7c7671.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/3f90152e-24fe-4ef9-aa59-558665522f10.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/fcb0bc30-0a35-4e36-89e3-170b31dca88f.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/df5177ba-19a6-4d0b-ae2d-eaaa71a1f414.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/d15f2410-6088-4579-aa61-36de7fab358d.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/992e1906-a28c-46df-8c21-932aee06dff8.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/6aa5818f-b0b5-4ac6-9ab1-1298dcf8e22d.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/7fc389d4-a26c-4399-a728-763803013611.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/e71fbcdb-555e-4fb3-b4e5-f3e83bd1a0a5.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/4b15447b-9391-449a-b3a7-46915ac9b862.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/cb6083c0-f239-48c4-958d-da302d5b34e3.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/2adc5ed4-ab56-4231-88ea-1a2446b45fe0.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/0e30ca01-8693-47c3-8b8d-b7f7522a5c84.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/626dcffb-7069-4e1a-973a-4c95fd4c065f.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/26c919f8-2006-480e-b92a-88530b7ef21d.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/a64ef4f6-a33a-4348-be53-d7d4bf171007.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/1251c290-22aa-4419-9264-0e586a1c104e.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/3d5a8060-b8c0-4b55-a7cd-1716364d0f08.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/0b863d64-be08-4f9d-a8a6-06d311949734.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/3b0be654-7f2d-4035-8c39-97aec44b2a76.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/0e9b4308-b171-4890-84d5-896717b8ac96.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/89644f22-425b-4221-848a-d63b7b340f16.fasta
Laos,fermented fish,Fermented_fish_sauce,MS001-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS001-3/0cf6c6d9-1cab-4ddf-bdb2-ef4e9cb1ce8d.fasta
